No,Text,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,Question5,Answer5,,,
1085,"Remove any flowers or decorations on the cake. These decorations can interfere with the wrapping and freezing of the cake. Place the flowers or decorations on a separate tray lined with wax paper. You can then wrap and freeze them separately if you want to preserve them. Most wedding cake decorations are made out of sugar paste, which does not go bad. You can still wrap the decorations in plastic wrap and freeze them on a tray to be safe.",Where should I place the decorations?,Place the flowers or decorations on a separate tray lined with wax paper. ,What if I want to preserve decorations?,You can then wrap and freeze them separately if you want to preserve them.,Can I wrap the decorations in plastic wrap?,"Yes, you can still wrap the decorations in plastic wrap and freeze them on a tray to be safe.",,,,,,,
1086,"Wash the pads in the washing machine after every use. Most steam mops have removable fabric pads that are easy to clean and maintain. Make sure the mop head is cool enough to touch, and remove the pad. Then wash it on a normal cycle with every-day laundry detergent/ Try to put your mop pad in with other loads of laundry so that you aren't washing it by itself. This is more environmentally friendly, and also less harsh on your mop pad.",What should I use to wash the pad?,Wash it on a normal cycle with every-day laundry detergent,Can I wash the pad by itself?,Try to put your mop pad in with other loads of laundry so that you aren't washing it by itself. ,,,,,,,,,
1087,"Ask questions. Ask them to explain what that means, how it works, etc. He should be able to give you some understanding of how your car is supposed to work. If it sounds like they are talking in circles, this might be cause for alarm.",What should I ask?,"Ask them to explain what that means, how it works, etc.",What if they don't answer my questions?,"If it sounds like they are talking in circles, this might be cause for alarm.",,,,,,,,,
1088,"Clean it with cream of tartar, a.k.a. potassium hydrogen tartrate. This is a natural acid that comes from grapes and other fruits. It is usually used in cooking, but its acidic properties make it great for cleaning silver. You can find it in most grocery stores in the spice section.",What is the cream of tartar?,A.k.a. potassium hydrogen tartrate. This is a natural acid that comes from grapes and other fruits.,Where can I get it?,You can find it in most grocery stores in the spice section.,Will it harm silver?,[No Answer],,,,,,,
1089,"Keep microwaving the slivers at 1-minute intervals until they're golden brown. After each minute interval, take the almond slivers out of the microwave and stir them. You'll know they're finished when they look golden brown and roasted on the outside. It could take between 3-8 minutes for the almond slivers to finish roasting.",When will they finish?,You'll know they're finished when they look golden brown and roasted on the outside.,How long will it take?,It could take between 3-8 minutes for the almond slivers to finish roasting.,How many times do I need to microwave it?,[No Answer],,,,,,,
1090,Boil and serve. Add the bags to a large pot of boiling water. Make sure the plastic is completely submerged and not touching the hot metal on the sides. Boil for 13-15 minutes. Remove the bags and allow them to cool. Slide the cooked omelette onto a plate. Repeat as many times as necessary and enjoy!,How long to boil?,Boil for 13-15 minutes.,How many times should I repeat?,Repeat as many times as necessary and enjoy!,,,,,,,,,
1091,"Grate the bar soap. Use a cheese grater to grate the soap into small flakes. For easier cleanup, hold the cheese grater over a bowl and grate the soap right into the bowl. Grating will make the soap easier to process into a powder-like substance. 10 ounces (283 g) of bar soap is roughly equivalent to two bars of soap. Ideal soaps for this recipe include castile soap, Zote laundry soap, and Fels-Naptha. Because the soap may permanently flavor your cheese grater, you may want to use a separate grater for detergent making.",What tool should I use?,Use a cheese grater.,What if the soap flavor my cheese grater?,You may want to use a separate grater for detergent making.,What are the ideal soaps?," Ideal soaps for this recipe include castile soap, Zote laundry soap, and Fels-Naptha.",,,,,,,
1092,Flush the drain with hot water again. Do a final flush of the drain with 3 cups (710 ml) of boiling hot water. This should remove any remaining grime or debris in the drain. You can flush the drain with hot water on a weekly basis to keep it clean.,How much hot water should I use for the final flush?,3 cups (710 ml) of boiling hot water.,How often should I flush the drain?,You can flush the drain with hot water on a weekly basis to keep it clean.,,,,,,,,,
1093,"Buy enough seed and not too much. Having too much seed and nowhere to plant it will mean that the unused seed will go to waste. For the most part, it'll expire before you get the chance to use it for the next year's season.",Can I use it next year?,"No, for the most part, it'll expire before you get the chance to use it for the next year's season.",Why not buy too much?,Having too much seed and nowhere to plant it will mean that the unused seed will go to waste.,,,,,,,,,
1094,"Rotate the pressure-adjusting screw to the left until it turns freely. Do this for each regulator. The valve in the regulator needs to be closed before cylinder pressure is admitted. Turning the pressure-adjusting screw counter-clockwise removes the pressure from the spring in the regulator. When the screw turns freely, you should be able to just tap it with your finger and see it move, rather than having to apply pressure.",What should I do before cylinder pressure is admitted?,The valve in the regulator needs to be closed.,When can I easily move it?,"When the screw turns freely, you should be able to just tap it with your finger and see it move, rather than having to apply pressure.",In which direction should I turn the pressure-adjusting screw?,counter-clockwise,,,,,,,
1095,"Purchase a new pump. Find a hardware store or appliance store where you can buy a manufacturer-approved replacement pump. Make sure the pump is compatible with the make and model of your dishwasher. Replacing a dishwasher pump is a somewhat complicated procedure, and you should call a professional if you're at all uncomfortable with the job or the tools.",Where can I purchase a new pump?, Find a hardware store or appliance store where you can buy a manufacturer-approved replacement pump.,Is it difficult to replace the pump?,Replacing a dishwasher pump is a somewhat complicated procedure.,What if I don't know how to replace the pump.,You should call a professional if you're at all uncomfortable with the job or the tools.,,,,,,,
1096,Get multiple bids. If you are going to hire a contractor make sure to get multiple bids. Angie's List is an excellent place to start because you can read reviews from other users and make sure you are hiring someone that can deliver the project on budget.,Why should I get multiple bids?,[No Answer],Where can I read reviews from other users?,Angie's List,Why Angie's List is an excellent place to start?,Because you can read reviews from other users and make sure you are hiring someone that can deliver the project on budget.,,,,,,,
1097,"Make salted caramel. This is a popular variation on caramel sauce that takes the flavor up a notch. Instead of adding just a pinch of salt, add a teaspoon of salt for every cup of sugar you use. There's something about the sweet-and-salty flavor combination that makes it taste that much better.",How much salt do I need to add?,Add a teaspoon of salt for every cup of sugar you use.,What is salted caramel?,This is a popular variation on caramel sauce that takes the flavor up a notch.,Why make seet-and salty flavor?,There's something about the sweet-and-salty flavor combination that makes it taste that much better.,,,,,,,
1098,"Be a conscious consumer. Control the temptation to hoard things. Each time that an object comes into your sphere of possession, consider whether you truly need to keep this thing. If you do not need this thing, then let it go. Move on. Resist the urge to buy things you don't need. Catch yourself when you are buying things on impulse rather than for a practical use. Think: ""Will I be glad that I bought this thing in a week? A month? A year?"" Learn to let go. Practice turning away from opportunities that aren't relevant to you right now.",What if I do not need this thing?,Then let it go. Move on.,What should I think before I buy something?,"Think: ""Will I be glad that I bought this thing in a week? A month? A year?""",How to learn to let go?,Practice turning away from opportunities that aren't relevant to you right now.,,,,,,,
1099,"Use fruit in different ways. Rather than just peeling or cutting it up into pieces, drink fruit smoothies or use fruit as a salad ingredient. Follow some of these refreshing ideas: Watermelon lemonade Watermelon mint raspberry salad Cherry pie salad Banana smoothie.",What are the different ways to use fruits?,Drink fruit smoothies or use fruit as a salad ingredient.,Can you provide some refreshing ideas?,Watermelon lemonade Watermelon mint raspberry salad Cherry pie salad Banana smoothie.,,,,,,,,,
1100,"Add garnish items. Some examples of gross edible items include: Eyeballs made from black grape or olive halves attached to kiwifruit halves. Frozen hand made from a strong solution of Ribena (so that it doesn't dilute the flavor as it melts) Gummy worms or gel-based candies in the shapes of things such as brains, fingers, etc. False teeth candies.",What are edible eyeballs made of?,Eyeballs made from black grape or olive halves attached to kiwifruit halves.,Why use strong solution of Ribena,So that it doesn't dilute the flavor as it melts.,How to make gummy worms or gel-based candies?,[No Answer],,,,,,,
1101,"Make your own homemade sodas. Another great option for soda lovers is to make your own sodas at home. You can purchase all-natural ingredients and make flavorful sparkling beverages that are the perfect soda replacement. If you really crave a flavored, bubbly beverage, consider mixing together either tonic, seltzer or sparkling water with your favorite fruit juice. Fruit juice contains a lot of sugar (even 100% fruit juice), so limit your intake to 4 oz. Make sure to choose 100% fruit juice. Fruit juice cocktails or fruit juice mixes may have added sugar to them and will be much higher in calories. To keep total calories and sugar low overall, only mix in about 1/4 cup 100% fruit juice in with about 8 – 10 oz of sparkling water.","What if I really want flavored, bubbly beverage?","Consider mixing together either tonic, seltzer or sparkling water with your favorite fruit juice.",How much fruit juice should I use?,Limit your intake to 4 oz.,Why don't I use fruit juice cocktails or fruit juice mixes?,Fruit juice cocktails or fruit juice mixes may have added sugar to them and will be much higher in calories.,,,,,,,
1102,"Add Triple-Sec to make a B-52. A B-52 is another layered shot that also uses coffee liqueur and Irish cream. The only difference is that coffee liqueur makes up the bottom 1/3 layer, Irish cream makes up the second 1/3 layer, and a final 1/3 layer of Triple-sec is added on top. To make a flaming B-52 shot, use a high proof Triple-sec liquor, such as Cointreau. Light the shots right before serving them, but make sure that everyone blows out the flame before they drink and be very careful when serving flaming beverages!",What is B-52?,A B-52 is another layered shot that also uses coffee liqueur and Irish cream.,What kind of liquor should I use?,"Use a high proof Triple-sec liquor, such as Cointreau.",Which layer is Irish cream?,Irish cream makes up the second 1/3 layer,,,,,,,
1103,"Leave it to ripen for 5 to 12 hours. Place the jar into an insulated cooler and pour in enough warm water to come halfway up the side of the jar. Leave the cream until it reaches 75 °F (24 °C). Use a thermometer to check the temperature or hold the jar to feel if the cream has warmed up. If you left out the buttermilk, the cream will need to ripen closer to 12 hours while cultured cream will take closer to 5 hours.",How much water do I need to pour?,Halfway up the side of the jar.,How long does the cream ripe?,The cream will need to ripen closer to 12 hours while cultured cream will take closer to 5 hours.,What temperature does the cream need to reach?,75 °F (24 °C),,,,,,,
1104,"Wrap the foil around the mushrooms to create a bundle. Pull the corners of the aluminium foil into the centre of the square. Hold all the corners in one hand and twist them together. This will secure the mushrooms inside the foil parcel. If the foil doesn’t completely cover the mushrooms, wrap another piece of foil over the bundle to cover the gap. The mushrooms will be stacked on top of each other inside the package.",Where should I put the corners of the foil?,Pull the corners of the aluminium foil into the centre of the square.,What if the foil doesn't completely cover the mushrooms?,"If the foil doesn’t completely cover the mushrooms, wrap another piece of foil over the bundle to cover the gap.",How to place the mushrooms inside the package?,The mushrooms will be stacked on top of each other inside the package.,,,,,,,
1105,"Choose perennials that can stand up to physical abuse. Plants that are used to edge walkways will likely have to deal with a lot of foot traffic. Hardy, resilient perennials will therefore be a good choice. Examples of perennials that can withstand abuse from foot traffic include lilyturf (genus Liriope) and brass buttons.",What kind of plant is the best choice?,"Hardy, resilient perennials will therefore be a good choice.",What are examples of perennials that can withstand abuse from foot traffic?,Examples of perennials that can withstand abuse from foot traffic include lilyturf (genus Liriope) and brass buttons.,Can I use grass to pave the edge of the walkways?,[No Answer],,,,,,,
1106,"Steep a carrot in your milk. Peel a carrot, chop it into large pieces, and let it sit in a refrigerated jug of milk. Strain it out when you're ready to use the milk. This won't have a major effect, but it can improve the taste a little.",Should I peel the carrot?,"Yes, peel a carrot, chop it into large pieces.",Should I strain the carrots out?,"Yes, strain it out when you're ready to use the milk.",,,,,,,,,
1107,"Use an alcoholmeter calibrated to the density of pure ethanol. An alcoholmeter is a hollow glass tube that floats in a liquid. Because alcohol is less dense than water, using a specialized hydrometer that is specifically designed and calibrated to measure alcohol content called an alcoholmeter allows you to measure the alcohol content of a liquid. Alcohol meters are used to measure the alcohol content of high-proof spirits. Check the packaging to make sure your alcoholmeter is calibrated for measuring alcohol content.",What is alcoholmeter?,An alcoholmeter is a hollow glass tube that floats in a liquid.,What is the alcohol meter used for?,Alcohol meters are used to measure the alcohol content of high-proof spirits.,What is the difference between alcohol and water?,Alcohol is less dense than water.,,,,,,,
1108,"Rinse the meat under hot water to remove any remaining fat if needed. If your ground beef is extra fatty, gently wash off any remaining fat or grease. Put the bowl in the sink and hold your strainer over top. Then, pour some water over the meat from your faucet. Avoid overflowing the bowl, if you can. A quick rinse will help rinse off any remaining fat or residue. Keep in mind that this is optional. You can use your meat right after it is strained. If there's not much liquid in your bowl, you can go with the same one used to strain the meat. If the bowl is full, get another one.",What if my ground beef is extra fatty?,Gently wash off any remaining fat or grease. ,What should I avoid?,"Avoid overflowing the bowl, if you can.",What if there remains fat?,A quick rinse will help rinse off any remaining fat or residue.,,,,,,,
1109,"Book the Belbus. Book the Belbus at least 2 hours before your departure; ideally, you should book the bus one day before. Note that the rules for making a reservation may vary from town to town. If you plan to use the Belbus all week, you can mention this to the operator and they will make arrangements. Usually, the operator will ask you the following questions: What is your name/client number? When would you like to depart (date and time)? Which bus stop will you depart from? What is your destination? Will you return with the Belbus?",When should I book the bus?,"Book the Belbus at least 2 hours before your departure; ideally, you should book the bus one day before.",What questions will the operator ask?,"Usually, the operator will ask you the following questions: What is your name/client number? When would you like to depart (date and time)? Which bus stop will you depart from? What is your destination? Will you return with the Belbus?",What if I want to use the bus all week?,You can mention this to the operator and they will make arrangements. ,,,,,,,
1110,"Mop the floor. Fill a mop bucket with a diluted neutral detergent solution, then use it to mop the entire surface of the vinyl composite tile floor. Dip your mop back in the detergent solution and wring it out regularly for the most effective mopping experience. Allow the floor to air dry, then mop it again with just water. Mop the floor as often as needed. Spills should be cleaned immediately.",How often should I mop the floor?,Mop the floor as often as needed.,What should I use to fill the mop bucket?,Fill a mop bucket with a diluted neutral detergent solution.,How to dry the floor?,Allow the floor to air dry.,,,,,,,
1111,"Tamp down your grounds. Tap your grounds down gently with a finger, then apply an even downward pressure to the grounds with a tamper that you have for your machine. The tamper should be at least 30 pounds and fit the basket snugly. This step compacts the grounds so that water can’t get through as easily, forcing it to interact with the coffee. Use a tamper of a higher weight if you prefer.",What weight should the tamper be?,The tamper should be at least 30 pounds and fit the basket snugly.,Can I use a heavier tamper?,"Yes, use a tamper of a higher weight if you prefer.",,,,,,,,,
1112,"Connect the faucet to the supply pipes with flexible supply lines. You’ll need a pair of flexible, braided, stainless steel supply tubes. Connect a line to each of the tee fittings on the copper pipes. Twist the nuts with pliers to tighten the lines, then run the other ends through the faucet.",What do I need?,"You’ll need a pair of flexible, braided, stainless steel supply tubes.",How can I tighten the lines?,Twist the nuts with pliers to tighten the lines.,How to connect the line to the pipe?,Connect a line to each of the tee fittings on the copper pipes.,,,,,,,
1113,"Turn on the burners to check that everything is working. If there are no leaks from your soapy water test then try turning on the burner. It may take a few seconds for the gas to come through and light because you first need to push out the air in the hose. You may smell a little gas before it lights so make sure the range hood is on before lighting. If it doesn’t light after 4 seconds, turn off the burner and wait a few minutes before trying again.",What is soapy water test?,[No Answer],What if it doesn't light?,"If it doesn’t light after 4 seconds, turn off the burner and wait a few minutes before trying again.",Can the range hood be turned off?,"No, make sure the range hood is on before lighting.",,,,,,,
1114,"Restrict vibrant colors to accents. If you must have vibrant colors, then restrict it to accents like door or window frames/trims and moldings. You can also add color to your room without taking away brightness by adding vibrant-colored décor pieces to your room; for example, vibrant-colored upholstery, pillows, rugs, candles, lamp shades, vases, and artwork. Paint the door and window frames your favorite color while keeping your walls and ceiling white, for example.",How can I add color without taking way brightness?,You can also add color to your room without taking away brightness by adding vibrant-colored décor pieces to your room.,What vibrant-colored decor can I add?,"Vibrant-colored upholstery, pillows, rugs, candles, lamp shades, vases, and artwork.",What if I must have vibrant colors?,Restrict it to accents like door or window frames/trims and moldings.,,,,,,,
1115,"Place the rubber object on a heat-proof surface. Whether you put it on a plate or a piece of bakeware, make sure that you will not have to make contact with the rubber while you are heating it up. Wearing eye protection and a dust mask will ensure that you are not harmed by the heat or the possibility of smelly fumes. While it is just a blow dryer and the risk is low, taking precautions is never a bad idea.",What should I wear?,Eye protection and a dust mask.,Where should I place the rubber object?,Place the rubber object on a heat-proof surface.,Can I place the rubber on a saucepan?,[No Answer],,,,,,,
1116,"Try the Burger King sausage burrito wrap. Breakfast burritos are another popular item that has hit fast food breakfast menus. Burger King has a great portion controlled option that'll fit into a healthier eating plan. Some breakfast burritos (even at Burger King) can get overly high in calories. Some are upwards of over 800 calories per burrito. Instead, order the Burger King sausage burrito wrap. It's small and contains eggs, cheese and sausage in a wrap. This wrap is about 310 calories total. It has about 14 g of protein and 1 gram of fiber per burrito.",What are the calories of Burger King sausage burrito wrap?,This wrap is about 310 calories total.,What are the other portion controlled item I can eat?,[No Answer],Can I have breakfast burritos from other restaurants?,Some breakfast burritos (even at Burger King) can get overly high in calories.,,,,,,,
1117,"Get your car serviced regularly. Take your car to a good local mechanic to have it examined. Getting your car serviced regularly keeps all of its parts in good working order. When all parts of your car are clean and working optimally, your car will perform its best.",Where can I examine my car?,Take your car to a good local mechanic to have it examined.,How to keep parts in good working order?,Getting your car serviced regularly keeps all of its parts in good working order.,How can my car perform best?,"When all parts of your car are clean and working optimally, your car will perform its best",,,,,,,
1118,"Lower the spoon into the bowl and let it fill with broth. Now that you have the noodles in your spoon, lower it back into the soup to soak up some of the delicious broth. You can even use your chopsticks to help place some of the toppings into the spoon as well. Think of your soup spoon as a mini bowl of ramen and try to create the perfect bite-sized bowl.",How to put the toppings in the spoon?,You can even use your chopsticks to help place some of the toppings into the spoon.,How to make noodles more delicious?,Lower it back into the soup to soak up some of the delicious broth.,,,,,,,,,
1119,"Store the powdered eggs in a cool, dark place. A pantry or cupboard will usually work, but a food storage area in a cellar might be even better. Storing the eggs in a refrigerator will also work. If the eggs have been thoroughly dehydrated and stored properly, they are usually safe for several months to about two years. If any moisture or fat remains, or if the eggs are not stored in an airtight container, the shelf-life is drastically reduced. Under these conditions, powdered eggs may only last one week at room temperature or three to four weeks in the refrigerator. For longer storage, place the powdered eggs in a freezer. Frozen powdered eggs can last for five years or more. Make sure that the container you use is freezer-safe, however.",How long can eggs be stored?,"If the eggs have been thoroughly dehydrated and stored properly, they are usually safe for several months to about two years. ",How long can frozen powdered eggs be stored?,Frozen powdered eggs can last for five years or more.,What if there is moisture or fat remains?,"If any moisture or fat remains, or if the eggs are not stored in an airtight container, the shelf-life is drastically reduced. ",,,,,,,
1120,"Pour some of the herb onto a clean napkin, paper towel, or white plate. Take a pinch in your fingers and crush it. Smell it. Do you smell some definite herb? If you still don't see or smell anything that shouldn't be there, such as insects, and if the herb looks like bits of leaf (instead of dust), then it's probably all right . Try it but then be sure to buy more the next time you're shopping if you still question its freshness.",What should I do if I see some insects?,[No Answer],What if I still doubt its freshness?,Try it but then be sure to buy more the next time you're shopping if you still question its freshness.,How do I know if the herbs are good after I crush it?,Smell it.,,,,,,,
1121,"Try cinnamon roll monkey bread. Spray a Bundt pan with baking spray and open 2 cans of cinnamon rolls. Cut the cinnamon rolls into bite sized pieces and roll them in a cinnamon-sugar mixture. Place them into the pan and bake them at 350 degrees F (175 C) for about 20 minutes. Flip it out of the pan and drizzle the monkey bread with the icing packet. You can also make extra gooey glaze by mixing butter, brown sugar, and cinnamon. Spread the gooey glaze over the cinnamon roll bites in the pan before baking.",How many cinnamon rolls do I need?,2 cans of cinnamon rolls.,How to make extra gooey glaze?,"You can also make extra gooey glaze by mixing butter, brown sugar, and cinnamon.",What temperature should I use to bake it?,350 degrees F (175 C),,,,,,,
1122,"Let the rub rest on the meat. You should let the spices sit on the riblets for about 30 minutes. This will allow the flavors to soak into the meat more. Keep the rubbed, uncooked meat in the fridge while it sits. If you have a bunch of spices left over, or want to make a large batch for future recipes, store your spice mix in a glass jar with an airtight lid. Only store spices that have not come into contact with raw meat.",How long should I keep the spices on the riblets?,You should let the spices sit on the riblets for about 30 minutes. ,How to keep the spice mix?,Store your spice mix in a glass jar with an airtight lid.,Where should I put the uncooked meat?,"Keep the rubbed, uncooked meat in the fridge while it sits.",,,,,,,
1123,"Unscrew the trim and the collar from the wall by hand. The trim is the decorative piece that fits around the outside of the faucet, generally just behind the handle, while the collar is generally a tubular piece that fits around the internal faucet parts. They should unscrew fairly easily. You can use a hair dryer to loosen them as well. Repeat for the other handle if your tub has two.",Where can I find the trim?,"The trim is the decorative piece that fits around the outside of the faucet, generally just behind the handle.",How can I loosen them?,You can use a hair dryer to loosen them as well.,Is it difficult to unscrew them?,"No, they should unscrew fairly easily. ",,,,,,,
1124,Fasten the vapor barrier to your foundation. Purchase foundation pins at a home improvement store. You should be able to buy 100 for about $20. Then pin the vapor barrier to the cinder block or brick foundation. Use one pin every 2–3 feet (0.61–0.91 m).,Where should I place the vapor barrier?,Fasten the vapor barrier to your foundation.,Where can I buy foundation pins?,Purchase foundation pins at a home improvement store.,What is the distance between each pin?,Use one pin every 2–3 feet (0.61–0.91 m).,,,,,,,
1125,"Lay up about 24 inches (61.0 cm) of brick on this foundation, leaving the interior hollow, like a box. Leave an opening in the back ""wall"" of this box for removing ash from the fire pit, about 12X12 inches. You may decide later to have a metal door built for this, but that really doesn't matter.",How many inches should the brick be?,24 inches (61.0 cm) of brick.,How large should the opening in the back be?,About 12X12 inches.,Should I build a metal door for this?,"You may decide later to have a metal door built for this, but that really doesn't matter.",,,,,,,
1126,"Make the meatball form. Roll the mixture into meatballs that are about 1.5 inches (3.8 cm) thick. They should fit nicely in the palm of your hand, so you can use your hands to make the ball shape by rolling the mixture between your two palms.",What kind of shape should I make?,Make the meatball form.,How to make the meatball form?,You can use your hands to make the ball shape by rolling the mixture between your two palms.,How thick should the meatball be?,About 1.5 inches (3.8 cm) thick.,,,,,,,
1127,"Apply the dye to the poplar with a rag. Using a clean rag, transfer plenty of dye onto the wood. You can’t really use too much. Spread the dye along the wood until it is covered by an even coating. You will need to add a large amount of dye to coat an entire piece of wood, so don’t hold back.",What tool should I use?,Using a clean rag.,How do I spread the dye?,Spread the dye along the wood.,When should I stop applying dye?,Until it is covered by an even coating.,,,,,,,
1128,"Put the pear down and cut off about ?2 inch (1.3 cm) from each end. Place the fruit on a plate or cutting board. Hold it steady with either the fork or your gloved hand. Use a paring knife to slice off the ends. There’s an indentation in the bottom of prickly pears. Be sure to cut all of it off when you slice that end. Whenever you cut any food with a knife, make sure to curl your fingers inward on the hand that’s holding the food steady. This way, if the knife slips while you’re slicing, you’ll graze your knuckles instead of chopping into the tips of your fingers.",How to slice off the ends?,Use a paring knife to slice off the ends.,Where should I place the fruit?,Place the fruit on a plate or cutting board.,Why should I curl my fingers?,"This way, if the knife slips while you’re slicing, you’ll graze your knuckles instead of chopping into the tips of your fingers.",,,,,,,
1129,"Use a rust remover that is less acidic. Acid can dull or even remove paint. Avoid damaging the painted surface by using a rust remover that is pH neutral or has a high pH, as it will be mild and less acidic. Look for pH neutral rust removers at your local hardware store.",What should I use to avoid damaging the paint?,Avoid damaging the painted surface by using a rust remover that is pH neutral or has a high pH.,Why can a rust remover with a neutral pH or a high pH avoid damaging the paint?,As it will be mild and less acidic.,What else can I use to remove rust?,[No Answer],,,,,,,
1130,"Sip your SUPREP through a straw. Using a straw helps you drink the medicine slowly. Also, it helps you minimize how much you taste it because it doesn’t wash over your entire mouth. Your kit won’t come with a straw, so you’ll need to get one from somewhere else. You can find one at a local fast food joint, or you could buy a pack of straws.",Where can I get a straw?,"You can find one at a local fast food joint, or you could buy a pack of straws.",Why should I use a straw?,"Using a straw helps you drink the medicine slowly. Also, it helps you minimize how much you taste it.",,,,,,,,,
1131,"Figure out how much Alfredo sauce to use. You'll need the same number of sauce servings as pasta servings. For example, if you made enough pasta for two people, heat enough sauce for two people. Check the nutrition label on the sauce jar to find out how much sauce is in one serving; it should be about 1/4 to 1/2 cup per person.",How much sauce is in one serving normally?,It should be about 1/4 to 1/2 cup per person.,Can I use more sauce than one serving?,[No Answer],,,,,,,,,
1132,"Test your ohmmeter on a store-bought resistor, if you can. Get a resistor (or several resistors) whose resistance is already known. Then, use your ohmmeter to measure the resistor’s resistance and see if you get the reading that you expect to. You can technically use anything that conducts electricity, from a piece of aluminum foil to a pencil mark on a sheet of paper, to test your ohmmeter, as long as you know that object’s resistance value ahead of time. Place the meter’s probes on opposite ends of the conductor and look to see if the correct resistance reading shows up on the meter’s screen.",What can I use to test my ohmmeter?,"You can technically use anything that conducts electricity, from a piece of aluminum foil to a pencil mark on a sheet of paper, , to test your ohmmeter, as long as you know that object’s resistance value ahead of time.",How to place the probes?,Place the meter’s probes on opposite ends of the conductor.,What can I do if the resistance reading is incorrect?,[No Answer],,,,,,,
1133,"Keep the boat heading straight, at a low speed. Once a member of your fishing party has caught a tuna on the line, slow the speed of the fishing boat and don’t make any unnecessary turns. This will make it easier for the angler to reel in the tuna. If the boat accelerates or makes sharp turns, the tuna may break the line or slip the hook. Under these conditions, the tuna should swim up alongside the boat and present itself for gaffing.",When should I slow the speed of boat?,Once a member of your fishing party has caught a tuna on the line.,What if the boat makes a sharp turn?,The tuna may break the line or slip the hook.,Can I just stop the boat?,[No Answer],,,,,,,
1134,"Let the pennies sit for 20-30 seconds. The vinegar and salt duo will act fast, so there’s no need to leave them in for too long. As the pennies soak, you should be able to notice the dark colored tarnish and other gunk melting away from the copper before your very eyes. Shake the pennies at the bottom of the dish as they soak to release even more buildup. Especially dirty coins can be left to soak for up to five minutes.",How long should the pennies sit?,20-30 seconds.,What about dirty coins?,Especially dirty coins can be left to soak for up to five minutes.,What should I do with the pennies at the bottom?,Shake the pennies at the bottom of the dish as they soak to release even more buildup.,,,,,,,
1135,"Sterilize everything. You can do this easily by washing your containers and equipment as usual, then boiling them in a pan on the stove. Ensure that your containers and equipment are heat-safe; even plastic that doesn't appear warped can release toxins. Dry everything thoroughly and put it all together in a large, clean container.",How to boil them?,Boiling them in a pan on the stove.,Why should I make sure that the containers are heat-safe?,Even plastic that doesn't appear warped can release toxins.,What should I do after boiling.,"Dry everything thoroughly and put it all together in a large, clean container.",,,,,,,
1136,"Be careful at stop signs. When a car stops at a four-way stop, they usually look for other cars. However, cyclists have just as much right to use the road as a car. If the bike came to the intersection first, it gets to go first. If it's on the right, and both the car and the bike arrived at the same time, the cyclist has the right of way.",What rights do cyclists have to use the road?,Cyclists have just as much right to use the road as a car.,"When the car and bike arrived at the time time, which one gets to go first?","If it's on the right, and both the car and the bike arrived at the same time, the cyclist has the right of way.",Should the cyclist get to go first when he came first?,"Yes, if the bike came to the intersection first, it gets to go first.",,,,,,,
1137,"Move in unison with the other passengers. If you have multiple passengers in the car, plan on moving at the same time. If you and your passengers can exit simultaneously (from side doors near your seat, for example), go through the exits at the same time if possible. Do not carry anything (except infants or small children) with you out of the vehicle. Carrying items with you can interfere with your balance and cause accidental movements. This will help the car maintain better balance as everyone exits the car.",Can I carry my personal items?,"No, do not carry anything (except infants or small children) with you out of the vehicle.",What if we have multiple passengers in the car?,Plan on moving at the same time.,Why can't I bring anything?,Carrying items with you can interfere with your balance and cause accidental movements.,,,,,,,
1138,"Find your engine coolant tank. Do this when your engine is cold, and look to see if the fluid level is between the hot and cold marks on the tank. Sometimes you may have to take off the radiator cap to see clearly, depending on the color of your tank. If the fluid is below the cold line or is completely empty, you definitely have an antifreeze leak.",Can I do this when the engine is hot?,"No, do this when your engine is cold.",What if I can't see clearly?,You may have to take off the radiator cap to see clearly,What should I do if I have an antifreeze leak?,[No Answer],,,,,,,
1139,"Pour the boiling water over the lemons. Once the water in your kettle reaches a boil, pour it over the lemons in your colander. The heat of the water will partially melt the wax, loosening it from the peel and making it easier to strip away.",What should I do when water reaches a boil?,Pour it over the lemons in your colander.,Why can boiling water help me?,"The heat of the water will partially melt the wax, loosening it from the peel and making it easier to strip away.",,,,,,,,,
1140,Try some variations. Some other spices and flavors you can add to the dressing include 2 teaspoons of lemon juice and 1 teaspoon of paprika. You can also try 1 teaspoon of Worcestershire sauce.,How much lemon juice do I need?,2 teaspoons of lemon juice.,What else can I add?,You can also try 1 teaspoon of Worcestershire sauce.,,,,,,,,,
1141,"Look into local regulations. Go online and look into permit requirements and local building laws before you buy your pergola. Depending on your area, there may be restrictions on where and how you can build your pergola legally. You may find that you have to obtain a construction permit in order to install your pergola. Living in a bushfire-prone area, for example, may significantly limit your material options.",Where can I buy a pergola?,"Depending on your area, there may be restrictions on where and how you can build your pergola legally.",Do I need a permit to install my pergola?,You may find that you have to obtain a construction permit in order to install your pergola.,What if I live in a bushfire-prone area?,"Living in a bushfire-prone area, for example, may significantly limit your material options.",,,,,,,
